movieId,title,genres,rating
396535,Train to Busan,"27, 53, 28",7.758
298618,The Flash,"12, 28, 878",6.691
575264,Mission: Impossible - Dead Reckoning Part One,"28, 12",7.547
36239,Slaughtered Vomit Dolls,"27, 18",4.221
122917,The Hobbit: The Battle of the Five Armies,"28, 12, 14",7.323
572802,Aquaman and the Lost Kingdom,"28, 12, 14",6.66
783110,Smugglers,"80, 28",6.625
783110,Smugglers,"80, 28",6.625
437342,The First Omen,27,6.9
809,Shrek 2,"16, 10751, 35, 14, 12",7.282
156022,The Equalizer,"53, 28, 80",7.282
1306764,Outside,"27, 53",6.0
11,Star Wars,"12, 28, 878",8.203
527435,The Christmas Chronicles,"35, 12, 10751, 14",7.147
1059264,The Inseparables,"16, 12, 35, 10751",6.5
82702,How to Train Your Dragon 2,"14, 28, 12, 16, 35, 10751",7.7
1139566,Through My Window 3: Looking at You,"10749, 18, 35",6.889
447277,The Little Mermaid,"12, 10751, 14, 10749",6.339
508883,The Boy and the Heron,"16, 12, 14, 10751, 18",7.5
1111873,Abigail,"27, 53",6.789
820530,Dakaichi: I'm Being Harassed by the Sexiest Man of the Year—The Movie: In Spain,"16, 18, 35, 10749",7.5
214756,Ted 2,"35, 14",6.3
550,Fight Club,18,8.438
568124,Encanto,"16, 35, 10751, 14",7.6
980489,Gran Turismo,"12, 28, 18",7.804
13673,Christmas with the Kranks,"35, 10751",6.144
508,Love Actually,"35, 10749, 18",7.112
938614,Late Night with the Devil,27,7.202
507086,Jurassic World Dominion,"12, 28, 878",6.7
840705,Blink Twice,"9648, 27, 53",6.768
1358820,A Nonsense Christmas with Sabrina Carpenter,10402,6.816
9732,The Lion King II: Simba's Pride,"10751, 12, 16, 28",6.9
1359227,LEGO Marvel Avengers: Mission Demolition,"16, 35, 878",6.7
1865,Pirates of the Caribbean: On Stranger Tides,"12, 28, 14",6.6
1337309,Bangkok Breaking: Heaven and Hell,"28, 80, 18, 53",6.6
277834,Moana,"12, 35, 10751, 16",7.6
559,Spider-Man 3,"28, 12, 878",6.433
384018,Fast & Furious Presents: Hobbs & Shaw,"28, 12, 35",6.86
566525,Shang-Chi and the Legend of the Ten Rings,"28, 12, 14",7.542
473924,Reunion Goals: The Beginning,"35, 10749",8.5
293660,Deadpool,"28, 12, 35",7.623
801335,Girl in the Basement,"53, 80, 10770",7.659
106646,The Wolf of Wall Street,"80, 18, 35",8.033
1160018,Kill,"28, 80, 53, 18",7.198
269149,Zootopia,"16, 12, 10751, 35",7.8
585,"Monsters, Inc.","16, 35, 10751",7.846
567811,10 Lives,"16, 35, 10751, 14",8.0
843527,The Idea of You,"10749, 18, 35",7.432
899112,Violent Night,"35, 28",7.3
588228,The Tomorrow War,"28, 878, 12",7.53
799583,The Ministry of Ungentlemanly Warfare,"28, 35, 10752",7.127
292610,Ladies' Doctor,35,4.2
9279,Jingle All the Way,"10751, 35, 12",6.043
268,Batman,"14, 28, 80",7.23
359410,Road House,"28, 53",6.975
1225977,Last Night at Terrace Lanes,"27, 53, 35",5.0
38757,Tangled,"16, 10751",7.6
129,Spirited Away,"16, 10751, 14",8.538
424,Schindler's List,"18, 36, 10752",8.567
351523,Purpose of Reunion,"10749, 18",5.3
299054,Expend4bles,"28, 12, 53",6.172
438695,Sing 2,"16, 10751, 10402, 35",7.9
1209290,Justice League: Crisis on Infinite Earths Part Three,"16, 878, 28",7.38
38575,The Karate Kid,"28, 12, 18, 10751",6.535
1184889,Jigra,"80, 18, 53",6.1
197158,Porno,"18, 27, 14, 35",4.9
425,Ice Age,"16, 35, 10751, 12",7.4
197158,Porno,"18, 27, 14, 35",4.9
425,Ice Age,"16, 35, 10751, 12",7.4
505642,Black Panther: Wakanda Forever,"28, 12, 878",7.1
926393,The Equalizer 3,"28, 53, 80",7.332
10193,Toy Story 3,"16, 10751, 35",7.8
22705,Cheeky,"35, 18, 10749",5.7
138843,The Conjuring,"27, 53",7.54
9714,Home Alone 3,"35, 10751",5.272
1290287,Hot Frosty,"10749, 35",5.993
496243,Parasite,"35, 53, 18",8.505
595985,Cold Blood,"53, 28",5.3
8966,Twilight,"14, 18, 10749",6.294
1231818,Purpose of Tutoring,"10749, 18",7.0
121,The Lord of the Rings: The Two Towers,"12, 14, 28",8.4
337167,Fifty Shades Freed,"18, 10749",6.701
508965,Klaus,"16, 10751, 12, 35, 14",8.2
118,Charlie and the Chocolate Factory,"12, 35, 10751, 14",7.049
11036,The Notebook,"10749, 18",7.889
12,Finding Nemo,"16, 10751",7.82
18785,The Hangover,35,7.323
1291559,Drawing Closer,"10749, 18",8.6
1008042,Talk to Me,27,7.16
10625,Mean Girls,"18, 35",7.21
49051,The Hobbit: An Unexpected Journey,"12, 14, 28",7.357
285,Pirates of the Caribbean: At World's End,"12, 14, 28",7.3
10719,Elf,"35, 10751, 14",6.651
10674,Mulan,"16, 10751, 12",7.908
1104171,Meet Me Next Christmas,"10749, 35",6.373
744,Top Gun,"28, 18",7.1
507089,Five Nights at Freddy's,"27, 9648",7.532
91314,Transformers: Age of Extinction,"878, 28, 12",5.9
348,Alien,"27, 878",8.2
744275,After We Fell,"10749, 18",7.1
166428,How to Train Your Dragon: The Hidden World,"16, 10751, 12",7.751
274291,Maladonna,18,5.0
315635,Spider-Man: Homecoming,"28, 12, 878, 18",7.334
10681,WALL·E,"16, 10751, 878",8.095
1585,It's a Wonderful Life,"18, 10751, 14",8.272
868759,Ghosted,"28, 35, 10749",6.944
299534,Avengers: Endgame,"12, 878, 28",8.247
634492,Madame Web,"28, 14",5.4
1214484,Let Go,18,7.958
102783,The 15 Year Old Girl,"18, 10749",5.4
3933,Corpse Bride,"10749, 14, 16",7.581
76341,Mad Max: Fury Road,"28, 12, 878",7.617
1192195,Riviera Revenge,35,6.5
10192,Shrek Forever After,"35, 12, 14, 16, 10751",6.379
173705,Female Teacher: In Front of the Students,"18, 9648, 27",6.6
1373893,Joni pata de conejo,28,6.5
10138,Iron Man 2,"12, 28, 878",6.844
447332,A Quiet Place,"27, 18, 878",7.403
372058,Your Name.,"16, 10749, 18",8.5
1562,28 Weeks Later,"27, 53, 878",6.611
240,The Godfather Part II,"18, 80",8.6
